LSOA,FTTP_AVAILABILITY,FTTC_AVAILABILITY,GFAST_AVAILABILITY,DSL_AVAILABILITY,CABLE_AVAILABILITY,OPERATOR_COUNT,DOWN_MBPS,UP_MBPS
S01012503,0.772727,0.954545,0,0.954545,0.318182,4.590909,46.744,7.594
E01031442,0.8,1,0,1,0,7,28.01625,6.953602941
E01030052,0.1625,1,0,1,0,1.95,38.63617172,9.019414141
E01001523,0,1,0,1,0.85,5.675,86.69630769,36.72163462
E01015438,0,0.942857,0,1,1,5.942857,88.83858333,35.55129762
E01028396,0.928571,0.071429,0,0.071429,0.964286,4.964286,114.6888333,16.171
E01010764,0.405063,0.987342,0,1,0.240506,4.759494,24.34515385,5.731538462
E01028149,0,1,0,1,0.82,4.54,73.79128333,13.39311667
E01011155,0.680851,0.914894,0,0.914894,0.170213,3.914894,51.14279861,11.57324306
S01012828,0.8,1,0,1,0.75,6.25,37.03881818,6.21469697
E01010385,0.787234,0.106383,0.06383,0.212766,0.531915,4.06383,38.75775397,8.640706349
E01021386,0.8,0.96,0,0.96,0,5,43.38370833,14.8565
E01021526,0.333333,0.939394,0,0.939394,0.030303,3.939394,31.29477381,8.401380952
E01023052,0.029851,0.985075,0,0.985075,0,3.955224,30.953775,7.9098
E01008432,0.961538,0.961538,0,0.961538,0.615385,7.769231,66.415,10.25743846
E01009205,0.033333,0.966667,0,1,1,5.966667,77.69212222,11.00522222
E01027447,0.514124,0.39548,0,0.548023,0,1.79661,57.23774537,12.19910185
E01026913,0.215686,0.843137,0,0.901961,0,2.92,33.39507576,8.670690909
E01016072,0,0.839286,0.142857,0.982143,0,3.964286,36.77357407,8.933111111
S01013114,0.102564,0.820513,0,0.897436,0,1.794872,20.71392593,4.879907407
E01019232,0.75,0.5625,0.4375,1,0.75,6.8125,45.07711538,8.907615385
E01025197,0.738095,0.238095,0,0.238095,0,2.952381,40.581725,8.24385
E01014624,0.347826,0.652174,0,0.695652,0.869565,5.304348,47.60228571,8.476857143
E01005152,0,0.516129,0.483871,1,0.967742,5.354839,52.50277778,8.141866667
E01004867,0.409091,0.363636,0.636364,1,1,6.454545,51.6931,10.2088
S01007252,0.391304,1,0,1,0,3,28.82321429,7.820357143
E01020560,0.941176,1,0,1,0,3,37.83874143,9.360561429
E01032734,0.183673,0.479592,0.336735,0.867347,0.122449,3.635417,55.0640375,10.2955625
E01006054,0,1,0,1,0,3,33.77421569,9.727235294
E01009108,0.703704,0,0,0.296296,0.666667,3.888889,31.62833333,6.078041667
E01020049,0.385417,0.6875,0,0.729167,0,1.747368,39.44102083,11.20502865
E01024305,1,0.958333,0,0.958333,0.958333,6.666667,92.67390909,65.88043182
E01027091,0.025,0.9,0,0.925,0.725,4.473684,82.55356111,13.18325
E01006392,0.034483,1,0,1,1,6.965517,124.2335556,14.63138889
E01013667,0.961538,0.769231,0,0.961538,0.961538,7.92,48.93616667,7.395541667
E01021281,0.521739,0.608696,0.391304,1,0,3.608696,43.2746,10.15067179
95XX10S3,1,0,0,0,1,3.48,59.22075758,12.33863636
E01010919,0.015152,0.969697,0,0.969697,0,3,26.30345238,6.348888889
E01004289,0.677419,0.645161,0,0.967742,0.032258,5.258065,56.6892,25.375
E01031835,0.785714,0.214286,0,0.214286,0.904762,3.904762,78.33482143,14.40044048
E01003885,0.057143,1,0,1,0.828571,5.657143,92.43465,12.6677
E01024486,0.8,0.916667,0,0.916667,0,4.733333,25.92300758,6.321030303
E01031107,0,1,0,1,1,6,84.378,14.62625
E01029422,0.12766,0.957447,0,0.957447,0,1.957447,23.51554667,4.962044444
E01002254,0.5,1,0,1,1,6.5,108.3873958,16.27532292
S01012563,0.307692,0.769231,0,1,0.538462,4.076923,53.69448148,9.111296296
E01033029,0.605263,0.394737,0,0.394737,0.157895,3.315789,61.10867593,12.43421296
E01013751,1,1,0,1,1,9,36.25555556,6.131666667
E01003642,0.884615,0.769231,0,0.769231,0.961538,6.461538,54.63515,8.5468
E01007561,0.25,0.928571,0,0.928571,0,3.785714,46.29684615,10.04384615
E01023685,0.613636,1,0,1,0.954545,6.318182,49.25614211,9.757079825
E01033599,0.3125,0.5625,0.125,0.9375,0.125,5.0625,81.35809524,123.017
E01015986,0.481481,1,0,1,0.814815,5.518519,107.9479167,17.36833333
E01016337,0.76087,0.934783,0,0.934783,0.782609,5.521739,55.51223529,11.72433333
E01005491,0.021739,1,0,1,0.782609,5.478261,34.91220833,7.720729167
E01008891,0.807692,0.846154,0.307692,1,1,6.653846,154.9739556,25.97366667
E01018553,0.680851,1,0,1,0.914894,5.829787,69.938325,10.43025
S01008742,0.809524,0.904762,0,0.952381,0.857143,7.142857,30.83666667,8.084333333
E01004418,1,0.105263,0,0.105263,0.947368,5.684211,118.3772,17.70501667
E01000504,0.807692,1,0,1,0.346154,5.615385,74.93679333,11.44496667
E01019236,0.731707,0.707317,0.292683,1,0.682927,6.658537,71.41556667,34.92825833
E01028674,0,0.848485,0.151515,1,0.787879,4.515152,96.59438889,10.982375
S01012445,0.625,1,0,1,0.875,4.75,34.25330556,12.71830556
E01009785,0,1,0,1,1,5.938776,75.28644444,10.82344444
E01010272,0.347826,1,0,1,0.782609,5.869565,46.17357143,11.10142857
E01027484,0.065934,0.879121,0,0.945055,0,1.788889,28.3129386,6.752241228
