"","DZ_code","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"287","S01006792",5413,1914,1874,5000,683,786,4269,19939,2076
"288","S01006793",4965,3062,2337,6200,3068,1290,6775,27697,4238
"289","S01006794",6215,3343,4133,5965,4321,3198,2577,29752,4968
"290","S01006795",4925,916,2013,2245,2456,2187,6803,21545,2437
"291","S01006796",2928,851,236,3615,2028,1291,6480,17429,1539
"292","S01006797",4972,1021,1042,2027,1031,298,6718,17109,1472
"293","S01006798",3859,1992,947,2185,1557,1292,6698,18530,1784
"294","S01006799",6295,3428,3550,3272,4546,2550,6548,30189,5110
"295","S01006800",4708,836,858,1669,557,787,6212,15627,1160
"296","S01006801",4269,2918,1937,5526,140,1761,6653,23204,2856
"297","S01006802",4086,3178,1887,3768,3339,1762,5454,23474,2926
"298","S01006803",5445,4972,3496,4114,5146,3709,5390,32272,5794
"299","S01006804",3510,2559,752,879,2990,788,6297,17775,1611
"300","S01006805",1627,3049,966,1452,3060,2188,6566,18908,1863
"301","S01006806",3707,2208,1109,3560,2089,2189,6746,21608,2454
"302","S01006807",1868,1951,1438,2111,740,3199,6866,18173,1698
"303","S01006808",2241,1868,1020,2608,1262,299,5491,14789,1000
"304","S01006809",4660,3859,3527,3606,4845,3710,5207,29414,4845
"305","S01006810",3645,2670,2822,2732,3840,2897,6325,24931,3327
"306","S01006811",1996,1452,839,937,2933,2190,6923,17270,1500
"307","S01006812",1358,2545,810,2060,2998,2551,6766,19088,1897
"308","S01006813",1215,4387,1641,2265,3447,2552,6242,21749,2491
"309","S01006814",3246,1729,1160,788,1351,789,5912,14975,1037
"310","S01006815",4358,5454,3104,5253,5689,3711,6012,33581,6128
"311","S01006816",4824,2868,2880,1721,3548,2191,6473,24505,3193
"312","S01006817",1398,2768,986,2860,3186,790,6535,18523,1782
"313","S01006818",2464,1880,1228,3248,1920,300,6928,17968,1651
"314","S01006819",1397,1056,487,2764,1149,301,6880,14034,867
"315","S01006820",4622,1334,894,3252,1109,302,6795,18308,1734
"316","S01006821",466,915,39,6619,169,791,6337,15336,1112
"317","S01006822",1584,1653,362,4462,576,792,5109,14538,955
"318","S01006823",6394,1157,3052,3672,657,1293,5754,21979,2536
"319","S01006824",1934,5600,2485,1425,6105,4190,4243,25982,3655
"320","S01006825",5130,3564,1088,2096,2663,2192,3673,20406,2180
"321","S01006826",5790,2310,3898,1397,3163,1763,3481,21802,2499
"322","S01006827",3924,3098,3758,3187,4897,3200,2100,24164,3099
"323","S01006828",4772,2375,4479,5259,4024,2898,4431,28238,4421
"324","S01006829",435,356,60,48,291,303,5723,7216,145
"325","S01006830",6134,3434,1499,3022,4124,2553,3158,23924,3036
"326","S01006831",6427,1368,1369,3321,166,793,2618,16062,1249
"327","S01006832",5990,1312,3214,2370,2738,1294,6042,22960,2774
"328","S01006833",5499,975,1477,1918,816,304,5789,16778,1394
"329","S01006834",189,1006,267,13,2540,794,1488,6297,93
"330","S01006835",6071,2782,6658,5738,4672,2899,5917,34737,6343
"331","S01006836",662,704,372,420,2955,795,5341,11249,467
"332","S01006837",4742,1893,1532,494,2870,1764,3370,16665,1379
"333","S01006838",2409,1638,948,537,3290,1295,1789,11906,551
"334","S01006839",5102,2354,2532,3260,3267,1296,4262,22073,2556
"335","S01006840",2775,1326,341,760,450,39,2142,7833,174
"336","S01006841",2263,1341,720,582,1558,1297,4044,11805,537
"337","S01006842",5220,2671,1410,1330,1016,305,5355,17307,1511
"338","S01006843",2524,3127,997,721,802,306,5384,13861,839
"339","S01006844",4605,2611,1505,4599,586,307,4387,18600,1802
"340","S01006845",2123,2121,712,982,502,308,5387,12135,581
"341","S01006846",4231,3585,3276,3528,2517,796,4434,22367,2626
"342","S01006847",4248,3449,2072,425,2,1298,2984,14478,943
"343","S01006848",880,2570,386,5109,687,309,4465,14406,935
"344","S01006849",43,1544,21,2156,2444,310,3600,10118,355
"345","S01006850",1287,3666,1817,742,3449,2900,6616,20477,2203
"346","S01006851",3307,4443,4192,1178,5060,3201,5398,26779,3937
"347","S01006852",5377,2133,1406,2050,1251,797,6053,19067,1893
"348","S01006853",1861,623,255,1579,210,1299,5702,11529,503
"349","S01006854",5438,2347,2334,2855,3691,2193,4925,23783,3010
"350","S01006855",2522,978,885,2128,1509,311,6499,14832,1012
"351","S01006856",2364,1502,622,1439,116,312,6532,12887,682
"352","S01006857",2819,1973,559,4552,1907,313,6800,18923,1865
"353","S01006858",3284,1277,834,2356,334,40,5487,13612,797
"354","S01006859",4160,751,1048,1172,63,314,6478,13986,862
"355","S01006860",5321,4296,4441,4705,5781,2901,4766,32211,5778
"356","S01006861",464,521,47,26,462,315,4816,6651,106
"357","S01006862",5712,2763,2755,3790,4038,798,4449,24305,3134
"358","S01006863",4402,3888,2168,2574,3266,2554,5953,24805,3282
"359","S01006864",405,1991,113,3478,3882,2194,4900,16963,1438
"360","S01006865",6360,1165,1950,5029,1661,316,5905,22386,2632
"361","S01006866",6306,940,1651,2776,1153,317,5510,18653,1812
"362","S01006867",6577,626,2054,3518,2247,318,6418,21758,2494
"363","S01006868",4181,3266,2921,1665,4771,2902,5388,25094,3380
"364","S01006869",3947,2003,1693,3776,2074,1300,5962,20755,2270
"365","S01006870",4601,1069,2029,2057,2428,799,6400,19383,1957
"366","S01006871",4228,2258,2059,632,3534,1301,6925,20937,2305
"367","S01006872",1829,1072,196,3757,65,319,5408,12646,643
"368","S01006873",6788,1179,5032,4218,1462,320,6634,25633,3549
"369","S01006874",3186,1294,1551,1130,1344,800,6261,15566,1149
"370","S01006875",5489,4051,3757,3740,4556,1765,6157,29515,4887
"371","S01006876",4679,2774,2183,2423,2689,1302,6672,22722,2720
"372","S01006877",3827,1667,1647,2149,959,1303,6952,18504,1780
"373","S01006878",4446,3796,3289,5174,3091,2903,6399,29098,4718
"374","S01006879",5872,2326,3205,3595,753,1304,6802,23857,3018
"375","S01006880",1698,999,473,1611,1475,321,6683,13260,746
"376","S01006881",4572,2586,1600,2069,603,322,5951,17703,1601
"377","S01006882",6855,5858,5437,3603,6562,2195,5507,36017,6565
"378","S01006883",5631,2864,2701,4751,3634,1305,5748,26634,3880
"379","S01006884",5755,2876,3183,3419,2601,2196,3123,23153,2841
"380","S01006885",1901,2126,425,6462,1056,2904,6070,20944,2307
"381","S01006886",3902,1421,821,5395,2243,1766,6403,21951,2531
"382","S01006887",1333,1485,395,1887,2100,801,5551,13552,788
"383","S01006888",2308,1680,1089,1904,2073,323,6376,15753,1192
"384","S01006889",4912,5355,3327,2538,5830,4423,5545,31930,5693
"385","S01006890",5774,1810,1129,1087,2714,1767,1354,15635,1163
"386","S01006891",4958,2888,2931,3279,4006,2197,4982,25241,3432
"387","S01006892",3528,4405,4009,2644,6059,4191,4504,29340,4814
"388","S01006893",3809,4214,1559,536,5059,2905,4622,22704,2712
"389","S01006894",6612,4021,3017,5521,4308,2555,5670,31704,5628
"390","S01006895",2371,4196,2034,5968,3872,3470,4586,26497,3819
"391","S01006896",5526,3248,2825,5446,3017,2906,5980,28948,4664
"392","S01006897",4202,2179,1094,3012,2007,1306,3432,17232,1495
"393","S01006898",4795,3711,1764,3170,3088,2198,679,19405,1962
"394","S01006899",2485,1796,540,894,1046,41,3089,9891,334
"395","S01006900",4527,3486,1392,2553,638,802,2041,15439,1133
"396","S01006901",5795,4973,3611,4198,5604,3471,5000,32652,5890
"397","S01006902",2594,3881,2264,1375,5800,4424,1137,21475,2417
"398","S01006903",3214,4568,3578,3325,4941,4648,4535,28809,4609
"399","S01006904",5766,3864,3878,2584,3319,3202,1615,24228,3117
"400","S01006905",6302,3083,3122,5308,3851,1768,3786,27220,4084
"401","S01006906",6223,6039,6389,5918,6295,3952,3819,38635,6833
"402","S01006907",3723,3113,1936,6535,2993,2556,3659,24515,3201
"403","S01006908",5060,3633,3805,6157,4159,2907,4124,29845,5003
"404","S01006909",1085,1076,53,3045,260,803,3710,10032,348
"405","S01006910",2501,1073,382,4479,628,324,5915,15302,1103
"406","S01006911",132,613,79,102,2851,42,1965,5784,71
"407","S01006912",2846,1929,244,6493,511,43,5219,17285,1502
"408","S01006913",230,795,2,6655,52,1769,4796,14299,916
"409","S01006914",2865,1348,935,839,1098,44,6799,13928,850
"410","S01006915",2798,1786,874,1508,1893,325,5659,14843,1015
"411","S01006916",613,1595,455,118,4403,2199,5289,14672,980
"412","S01006917",63,771,72,14,2222,326,2705,6173,91
